06:49:18 node->uv_mutex_init(0x3921920, 0x7ffdb6a07b18, 0x7ffdb6a07b38, 0x386bef8) = 0
06:49:18 node->uv_mutex_init(0x3922e60, 0x7ffdb6a07b18, 0x7ffdb6a07b38, 0x386bf00) = 0
06:49:18 node->uv_mutex_init(0x3923420, 0x7ffdb6a07b18, 0x7ffdb6a07b38, 0x386bf18) = 0
06:49:18 node->uv_mutex_init(0x39235c0, 0x7ffdb6a07b18, 0x7ffdb6a07b38, 0x386bf28) = 0
06:49:18 node->uv_mutex_init(0x3923700, 0x7ffdb6a07b18, 0x7ffdb6a07b38, 0x386bf38) = 0
06:49:18 node->uv_mutex_init(0x3923760, 0x7ffdb6a07b18, 0x7ffdb6a07b38, 0x386bf40) = 0
06:49:18 node->uv_mutex_init(0x3923c80, 0x7f16e5096fc0, 0xd8c61abdea042bbf, 864) = 0
06:49:18 node->uv_version_string(0x3923d30, 0x2f5e69f, 19, 0xde3a560) = 0x7f16e7d5ba2c
06:49:18 node->uv_mutex_init(0x39240c0, 0x7ffdb6a07b18, 0x7ffdb6a07b38, 0x386bf68) = 0
06:49:18 node->uv_hrtime(3, 0x7ffdb6a07b18, 0x7ffdb6a07b38, 0x386bf70) = 0x796397ac3
06:49:18 node->uv_gettimeofday(0x7ffdb6a07a30, 32, 0x3924400, 23) = 0
06:49:18 node->uv_mutex_init(0x3924540, 0x7ffdb6a07b18, 0x7ffdb6a07b38, 0x386bf88) = 0
06:49:18 node->uv_mutex_init(0x3924c68, 0x7ffdb6a07b18, 0x7ffdb6a07b38, 0x386bfa0) = 0
06:49:18 node->uv_mutex_init(0x3924c90, 0, 0, 0x386bfa0)    = 0
06:49:18 node->uv_sem_init(0x3924ce0, 0, 0, 0x386bfa0 <unfinished ...>
06:49:18 libuv.so.1->uv_once(0x7f16e7d675e0, 0x7f16e7d52b40, 0, 0x386bfa0) = 0
06:49:18 <... uv_sem_init resumed> )                        = 0
06:49:18 node->uv_mutex_init(0x3924c20, 0xde3afb0, 0xd8c61a904c842bbf, 192) = 0
06:49:18 node->uv_mutex_init(0x3924d60, 0x7ffdb6a07b18, 0x7ffdb6a07b38, 0x386bfa8) = 0
06:49:18 node->uv_mutex_init(0x3924e60, 0x7ffdb6a07b18, 0x7ffdb6a07b38, 0x386bfb8) = 0
06:49:18 node->uv_mutex_init(0x3925020, 0x7ffdb6a07b18, 0x7ffdb6a07b38, 0x386bfc8) = 0
06:49:18 node->uv_rwlock_init(0xde70dd0, 120, 0, 0xde70dc0) = 0
06:49:18 node->uv_setup_args(3, 0x7ffdb6a07b18, 0x7ffdb6a07b18, 0x386bff8) = 0xde7c6b0
06:49:18 node->uv_mutex_lock(0x3923700, 0xde3a370, 0x2f1ba21, 0x7f16e4f93a8b) = 0
06:49:18 node->uv_os_getenv(0x2f1ba21, 0x7ffdb6a074f8, 0x7ffdb6a074b8, 0) = 0xfffffffe
06:49:18 node->uv_mutex_unlock(0x3923700, 0x7ffdb6a09510, 17, 73) = 0
06:49:18 node->uv_guess_handle(0, 3, 0, 0x7f16e4fb4914)     = 14
06:49:18 node->uv_guess_handle(1, 3, 0, 0x7f16e4fb4914)     = 14
06:49:18 node->uv_guess_handle(2, 3, 0, 0x7f16e4fb4914)     = 14
06:49:18 node->uv_hrtime(0xde7c720, 0xde7c738, 0xde7c750, 0) = 0x7965d7e11
06:49:18 node->uv_disable_stdio_inheritance(0x38f9380, 32, 0x3923090, 23) = 9
